Rank;Name1;Name2;BWF_ID1;BWF_ID2;
61;Yulfira BARKAH;Nitya Krishinda MAHESWARI;77784;54272;
62;DU Yue;XU Ya;65984;67270;
63;Kristin KUUBA;Helina RÜÜTEL;73015;75821;
64;Kittipak DUBTHUK;Natcha SAENGCHOTE;81168;74490;
65;Supissara PAEWSAMPRAN;Puttita SUPAJIRAKUL;74980;68441;
66;NG Wing Yung;YEUNG Nga Ting;87616;68015;
67;POON Lok Yan;TSE Ying Suet;55288;61435;
68;Alexandra BØJE;Sara LUNDGAARD;88779;71690;
69;Silvia GARINO;Lisa IVERSEN;79241;95837;
70;JUNG Kyung Eun;SHIN Seung Chan;16745;87473;
71;Ruethaichanok LAISUAN;Supamart MINGCHUA;96990;84287;
72;Julie MACPHERSON;Eleanor O'DONNELL;91715;79334;
73;Lise JAQUES;Flore VANDENHOUCKE;96665;65846;
74;CHENG Yu Chieh;HU Ling Fang;97282;87176;
75;Rachel HONDERICH;Kristen TSAI;95664;72164;
76;DONG Wenjing;FENG Xueying;64949;59576;
77;Chiew Sien LIM;Sueh Jeou TAN;70093;84195;
78;Ines CASTILLO;Paula LA TORRE REGAL;79258;95819;
79;KIM Hye Rin;LEE So Hee;57824;91292;
80;NG Tsz Yau;YUEN Sin Ying;61986;88932;
81;Alzbeta BASOVA;Michaela FUCHSOVA;39172;58763;
82;Asumi KUGO;Megumi YOKOYAMA;83347;86725;
83;Aparna BALAN;Sruthi K.P;51651;64219;
84;Amalie MAGELUND;Freja RAVN;95643;88933;
85;Linda EFLER;Eva JANSSENS;83942;60072;
86;Anastasiya CHERNIAVSKAYA;Alesia ZAITSAVA;94400;52294;
87;Yulfira BARKAH;Rosyita Eka PUTRI SARI;77784;80851;
88;CHAE YuJung;KIM So Yeong;93074;55874;
89;Sanyogita GHORPADE;Prajakta SAWANT;57564;28248;
90;Yin Loo LIM;YAP Cheng Wen;67046;95841;
91;Harika VELUDURTHI;Karishma WADKAR;83251;74837;
92;Jenny MOORE;Victoria WILLIAMS;89068;56958;
93;Doha HANY;Hadia HOSNY;61746;52901;
94;Jenny NYSTROM;Sonja PEKKOLA;64110;99619;
95;Nadia FANKHAUSER;Iris TABELING;81375;47517;
96;HUANG Dongping;LI Yinhui;89426;82249;
97;Linda EFLER;Olga KONON;83942;15323;
98;HUANG Dongping;ZHENG Yu;89426;85331;
99;Chloe BIRCH;Jenny MOORE;50715;89068;
100;KIM Hye Rin;YOO Chae Ran;57824;79061;
101;ONG Ren-ne;WONG Jia Ying Crystal;58917;59275;
102;Miki KASHIHARA;Miyuki KATO;92052;98494;
103;KIM Hye Jeong;KIM So Yeong;83419;55874;
104;Erina HONDA;Nozomi SHIMIZU;95283;90442;
105;CHOW Mei Kuan;Vivian HOO;12411;54149;
106;Kuhoo GARG;Ningshi Block HAZARIKA;87012;94588;
107;NG Tsz Yau;YEUNG Nga Ting;61986;68015;
108;Sayaka HOBARA;Natsuki SONE;59014;83607;
109;Benyapa AIMSAARD;Nuntakarn AIMSAARD;80871;79198;
110;Halla BOUKSANI;Linda MAZRI;64063;59922;
111;CHANG Hsin Tien;Chien Hui YU;87726;75154;
112;Nikoletta BUKOVICZKI;Daniella GONDA;91088;98804;
113;Michelle TONG;Josephine WU;90621;86226;
114;Devi Tika PERMATASARI;Keshya Nurvita HANADIA;88466;17156;
115;Tania Oktaviani KUSUMAH;Vania Arianti SUKOCO;89865;62428;
116;Jessica PUGH;Lauren SMITH;77018;80918;
117;Leanne CHOO;Renuga VEERAN;33833;15717;
118;NG Wing Yung;YUEN Sin Ying;87616;88932;
119;Busra UNLU;Ebru YAZGAN;63873;84902;
120;Chisato HOSHI;Kie NAKANISHI;65751;87428;
121;Anggia Shitta AWANDA;Meirisa Cindy SAHPUTRI;95620;61489;
122;Lisa KAMINSKI;Hannah POHL;81374;78338;
123;LIU Xuanxuan;Yuting XIA;60567;68753;
124;Adriana F. GONCALVES;Sonia GONCALVES;56466;72489;
125;Ieva POPE;Monika RADOVSKA;87721;57646;
126;Aurelie Marie Elisa ALLET;Kobita DOOKHEE;84390;69361;
127;CHAE YuJung;KIM Hye Jeong;93074;83419;
128;Iza SALEHAR;Lia SALEHAR;84389;99177;
129;Vytaute FOMKINAITE;Gerda VOITECHOVSKAJA;72367;53814;
130;Kah Mun CHIN;Zhi Qing LEE;64671;72517;
131;Julie Dawall JAKOBSEN;Ditte SØBY;77002;86761;
132;CHAE YuJung;JUNG Kyung Eun;93074;16745;
133;Yea Ching GOH;YAP Cheng Wen;80672;95841;
134;Isabella NIELSEN;Claudia PAREDES;90607;76327;
135;Anne Katrine HANSEN;Marie Louise STEFFENSEN;59426;62973;
136;Erena CALDER -HAWKINS;Jasmin Chung Man NG;76259;78979;
137;Chisato HOSHI;Naru SHINOYA;65751;99067;
138;Sally FU;Alyssa TAGLE;88713;72802;
139;CHANG Ye Na;KIM Hye Rin;54361;57824;
140;CHEN Lu;TANG Jinhua;72349;39056;
141;Chiew Sien LIM;Mei Xing TEOH;70093;63539;
142;Solvår flåten JØRGENSEN;Natalie SYVERTSEN;93983;67759;
143;KUO Yu Wen;LIN Wan Ching;86442;74686;
144;Mychelle Crhystine BANDASO;Winny Oktavina KANDOW;76782;77284;
145;Verlaine FAULMANN;Margot LAMBERT;99232;99891;
146;Akane ARAKI;Riko IMAI;69819;55739;
147;Rira KAWASHIMA;Saori OZAKI;99532;65638;
148;HUANG Yaqiong;TANG Jinhua;63168;39056;
149;LI Zi Qing;TENG Chun Hsun;91369;80299;
150;Elena KOMENDROVSKAJA;Maria SHEGUROVA;36996;70774;
151;Anona PAK;Fransisca Angelica RAHARDJA;57325;56214;
152;Eva LEE;Paula Lynn OBANANA;14814;13381;
153;Dian FITRIANI;Nadya MELATI;24370;52733;
154;Annie XU;Kerry XU;71644;85896;
155;CHENG Chi Ya;SUNG Shuo Yun;92339;88807;
156;Febriana Dwipuji KUSUMA;Ribka SUGIARTO;79664;96455;
157;BAEK Ha Na;CHAE YuJung;56706;93074;
158;Thi Phuong Hong DINH;Thi Hoai DO;94428;89923;
159;Yukino NAKAI;Nao ONO;56834;78783;
160;Wiktoria DABCZYNSKA;Aleksandra GOSZCZYNSKA;84178;75579;
161;Nairoby Abigail JIMENEZ;Licelott SANCHEZ;71061;39137;
161;Ni Ketut Mahadewi ISTARANI;Nitya Krishinda MAHESWARI;84362;54272;
163;Akane ARAKI;Aoi MATSUDA;69819;84120;
164;Yea Ching GOH;Vivian HOO;80672;54149;
165;Jee Lynn LIM;Zhen YAP;72586;55416;
166;LEE Yu Lim;SHIN Seung Chan;66115;87473;
167;Diana CORLETO SOTO;Mariana Isabel PAIZ QUAN;56401;76901;
168;MANEESHA K;Arathi Sara SUNIL;56836;97262;
169;CHENG Yu Chieh;HSIEH Pei Shan;97282;95062;
170;Ririn AMELIA;Anna Ching Yik CHEONG;88747;62570;
171;Moa SJOO;Tilda SJOO;86455;60603;
172;Xue Xin GONG;Weng Chi NG;74979;95068;
173;Julia BITSOUKOVA;Maryana VIARBITSKAYA;72961;86613;
174;Rutaparna PANDA;Mithula U K;80547;60874;
175;Sara BOYLE;Rachael DARRAGH;73274;80889;
176;Aminath Nabeeha ABDUL RAZZAQ;Fathimath Nabaaha ABDUL RAZZAQ;77393;62853;
177;Zarra Faza AZKA;Brigita Marcelia RUMAMBI;83932;71019;
178;Elizaberth CHIPELEME;Ngandwe MIYAMBO;58650;35183;
179;Evelyn SIAMUPANGILA;Ogar SIAMUPANGILA;55777;51665;
180;Emily KAN;Isabel ZHONG;92293;52636;
181;Elena FERNANDEZ;Lorena USLE;62947;92620;
182;Noemi ALMONTE;Bermary Altagracia POLANCO MUNOZ;80151;72946;
183;Monyata RIVIERA;Tamisha WILLIAMS;64740;72058;
183;HUNG En-Tzu;LIN Jhih Yun;62639;69009;
185;Zehra ERDEM;Ilayda Nur OZELGUL;53095;66567;
186;Supissara PAEWSAMPRAN;Kwanchanok SUDJAIPRAPARAT;74980;72504;
187;Isabel HERTTRICH;Olga KONON;98052;15323;
188;Puttita SUPAJIRAKUL;Sapsiree TAERATTANACHAI;68441;67158;
189;CHEN Hsiao Huan;HSIEH Pei Shan;51518;95062;
190;Febby Valencia Dwijayanti GANI;Lisa Ayu KUSUMAWATI;77316;82610;
191;Ksenia EVGENOVA;Anastasiia SEMENOVA;64352;73195;
192;LIN Ying Chun;PAI Yu Po;57244;99925;
193;Tereza ŠVÁBÍKOVÁ;Katerina TOMALOVA;60397;81794;
194;Elisa MELGAARD;Sofie NIELSEN;85818;87102;
195;CHENG Yu-Pei;LIANG Chia-Wei;67789;75217;
196;Jennie GAI;Jamie HSU;83074;79853;
197;Megha Morchana BORA;Sanghamitra SAIKIA;78494;83435;
198;Simran SINGHI;Ritika THAKER;75190;88389;
199;Yuliya KAZARINOVA;Elena PRUS;31914;52301;
200;Anona PAK;Danielle TAHURI;57325;53637;
